pp,name,season,gf,points,gc,pg,pe,pj,position,day
0,Barcelona,Temporada 2012-13,12,12,3,4,0,4,1,Jornada 4
0,Málaga,Temporada 2012-13,6,10,2,3,1,4,2,Jornada 4
0,Mallorca,Temporada 2012-13,5,8,3,2,2,4,3,Jornada 4
0,Sevilla,Temporada 2012-13,4,8,2,2,2,4,4,Jornada 4
0,Atlético,Temporada 2012-13,9,7,4,2,1,3,5,Jornada 4
1,Rayo,Temporada 2012-13,6,7,5,2,1,4,6,Jornada 4
1,Betis,Temporada 2012-13,7,6,5,2,0,3,7,Jornada 4
0,Deportivo,Temporada 2012-13,7,6,5,1,3,4,8,Jornada 4
2,Valladolid,Temporada 2012-13,3,6,3,2,0,4,9,Jornada 4
2,R. Sociedad,Temporada 2012-13,5,6,7,2,0,4,10,Jornada 4
1,Valencia,Temporada 2012-13,6,5,6,1,2,4,11,Jornada 4
2,R. Madrid,Temporada 2012-13,5,4,4,1,1,4,12,Jornada 4
2,Getafe,Temporada 2012-13,5,4,8,1,1,4,13,Jornada 4
2,Levante,Temporada 2012-13,5,4,8,1,1,4,14,Jornada 4
2,Athletic,Temporada 2012-13,8,4,12,1,1,4,15,Jornada 4
0,Barcelona,Temporada 2012-13,36,31,14,10,1,11,1,Jornada 3
1,Atlético,Temporada 2012-13,24,28,11,9,1,11,2,Jornada 3
2,R. Madrid,Temporada 2012-13,27,23,8,7,2,11,3,Jornada 3
4,Betis,Temporada 2012-13,18,19,17,6,1,11,4,Jornada 3
3,Málaga,Temporada 2012-13,15,18,9,5,3,11,5,Jornada 3
4,Levante,Temporada 2012-13,13,17,16,5,2,11,6,Jornada 3
5,Rayo,Temporada 2012-13,16,16,25,5,1,11,7,Jornada 3
4,Valladolid,Temporada 2012-13,16,15,12,4,3,11,8,Jornada 3
4,Valencia,Temporada 2012-13,14,15,13,4,3,11,9,Jornada 3
4,Sevilla,Temporada 2012-13,13,15,13,4,3,11,10,Jornada 3
6,Zaragoza,Temporada 2012-13,14,15,18,5,0,11,11,Jornada 3
5,Athletic,Temporada 2012-13,16,14,21,4,2,11,12,Jornada 3
6,R. Sociedad,Temporada 2012-13,12,13,16,4,1,11,13,Jornada 3
6,Getafe,Temporada 2012-13,12,13,18,4,1,11,14,Jornada 3
6,Mallorca,Temporada 2012-13,12,11,19,3,2,11,15,Jornada 3
3,Celta,Temporada 2012-13,4,3,5,1,0,4,16,Jornada 4
3,Zaragoza,Temporada 2012-13,2,3,5,1,0,4,17,Jornada 4
2,Granada,Temporada 2012-13,2,2,6,0,2,4,18,Jornada 4
3,Espanyol,Temporada 2012-13,7,1,10,0,1,4,19,Jornada 4
3,Osasuna,Temporada 2012-13,2,1,7,0,1,4,20,Jornada 4
6,Granada,Temporada 2012-13,11,11,18,3,2,11,16,Jornada 3
7,Celta,Temporada 2012-13,13,10,17,3,1,11,17,Jornada 3
5,Deportivo,Temporada 2012-13,18,10,25,2,4,11,18,Jornada 3
6,Espanyol,Temporada 2012-13,12,9,18,2,3,11,19,Jornada 3
7,Osasuna,Temporada 2012-13,11,8,15,2,2,11,20,Jornada 3
0,Barcelona,Temporada 2012-13,24,22,11,7,1,8,1,Jornada 8
0,Atlético,Temporada 2012-13,19,22,8,7,1,8,2,Jornada 8
1,Málaga,Temporada 2012-13,13,17,5,5,2,8,3,Jornada 8
2,R. Madrid,Temporada 2012-13,16,14,7,4,2,8,4,Jornada 8
2,Sevilla,Temporada 2012-13,11,14,9,4,2,8,5,Jornada 8
3,Betis,Temporada 2012-13,12,13,13,4,1,8,6,Jornada 8
3,Levante,Temporada 2012-13,9,13,13,4,1,8,7,Jornada 8
3,Mallorca,Temporada 2012-13,10,11,9,3,2,8,8,Jornada 8
3,Valencia,Temporada 2012-13,11,11,11,3,2,8,9,Jornada 8
4,Valladolid,Temporada 2012-13,12,10,9,3,1,8,10,Jornada 8
4,Getafe,Temporada 2012-13,8,10,11,3,1,8,11,Jornada 8
4,Rayo,Temporada 2012-13,11,10,17,3,1,8,12,Jornada 8
5,Celta,Temporada 2012-13,9,9,10,3,0,8,13,Jornada 8
5,Zaragoza,Temporada 2012-13,7,9,10,3,0,8,14,Jornada 8
5,R. Sociedad,Temporada 2012-13,8,9,12,3,0,8,15,Jornada 8
0,Barcelona,Temporada 2012-13,19,19,7,6,1,7,1,Jornada 7
0,Atlético,Temporada 2012-13,18,19,8,6,1,7,2,Jornada 7
1,Málaga,Temporada 2012-13,11,14,4,4,2,7,3,Jornada 7
3,Betis,Temporada 2012-13,12,12,13,4,0,7,4,Jornada 7
2,R. Madrid,Temporada 2012-13,14,11,7,3,2,7,5,Jornada 7
2,Mallorca,Temporada 2012-13,8,11,6,3,2,7,6,Jornada 7
2,Sevilla,Temporada 2012-13,8,11,7,3,2,7,7,Jornada 7
3,Valladolid,Temporada 2012-13,11,10,7,3,1,7,8,Jornada 7
3,Getafe,Temporada 2012-13,8,10,10,3,1,7,9,Jornada 7
3,Rayo,Temporada 2012-13,9,10,14,3,1,7,10,Jornada 7
3,Levante,Temporada 2012-13,8,10,13,3,1,7,11,Jornada 7
4,Celta,Temporada 2012-13,9,9,8,3,0,7,12,Jornada 7
4,R. Sociedad,Temporada 2012-13,8,9,11,3,0,7,13,Jornada 7
3,Valencia,Temporada 2012-13,8,8,9,2,2,7,14,Jornada 7
3,Granada,Temporada 2012-13,6,8,10,2,2,7,15,Jornada 7
0,Barcelona,Temporada 2012-13,17,18,5,6,0,6,1,Jornada 6
0,Atlético,Temporada 2012-13,16,16,7,5,1,6,2,Jornada 6
0,Málaga,Temporada 2012-13,10,14,2,4,2,6,3,Jornada 6
1,Sevilla,Temporada 2012-13,8,11,5,3,2,6,4,Jornada 6
1,Mallorca,Temporada 2012-13,7,11,4,3,2,6,5,Jornada 6
2,R. Madrid,Temporada 2012-13,12,10,5,3,1,6,6,Jornada 6
3,Valladolid,Temporada 2012-13,10,9,6,3,0,6,7,Jornada 6
3,R. Sociedad,Temporada 2012-13,8,9,9,3,0,6,8,Jornada 6
3,Betis,Temporada 2012-13,10,9,13,3,0,6,9,Jornada 6
2,Valencia,Temporada 2012-13,8,8,8,2,2,6,10,Jornada 6
3,Getafe,Temporada 2012-13,7,7,10,2,1,6,11,Jornada 6
3,Levante,Temporada 2012-13,7,7,13,2,1,6,12,Jornada 6
3,Rayo,Temporada 2012-13,7,7,13,2,1,6,13,Jornada 6
4,Celta,Temporada 2012-13,7,6,8,2,0,6,14,Jornada 6
0,Barcelona,Temporada 2012-13,5,3,1,1,0,1,1,Jornada 1
0,Betis,Temporada 2012-13,5,3,3,1,0,1,2,Jornada 1
0,Deportivo,Temporada 2012-13,2,3,0,1,0,1,3,Jornada 1
0,Mallorca,Temporada 2012-13,2,3,1,1,0,1,4,Jornada 1
0,Sevilla,Temporada 2012-13,2,3,1,1,0,1,5,Jornada 1
0,Málaga,Temporada 2012-13,1,3,0,1,0,1,6,Jornada 1
0,Rayo,Temporada 2012-13,1,3,0,1,0,1,7,Jornada 1
0,Valladolid,Temporada 2012-13,1,3,0,1,0,1,8,Jornada 1
0,Atlético,Temporada 2012-13,1,1,1,0,1,1,9,Jornada 1
0,Levante,Temporada 2012-13,1,1,1,0,1,1,10,Jornada 1
0,R. Madrid,Temporada 2012-13,1,1,1,0,1,1,11,Jornada 1
0,Valencia,Temporada 2012-13,1,1,1,0,1,1,12,Jornada 1
1,Espanyol,Temporada 2012-13,1,0,2,0,0,1,13,Jornada 1
1,Getafe,Temporada 2012-13,1,0,2,0,0,1,14,Jornada 1
1,Celta,Temporada 2012-13,0,0,1,0,0,1,15,Jornada 1
0,Barcelona,Temporada 2012-13,14,15,3,5,0,5,1,Jornada 5
0,Atlético,Temporada 2012-13,15,13,7,4,1,5,2,Jornada 5
0,Mallorca,Temporada 2012-13,7,11,3,3,2,5,3,Jornada 5
0,Málaga,Temporada 2012-13,6,11,2,3,2,5,4,Jornada 5
0,Sevilla,Temporada 2012-13,6,11,2,3,2,5,5,Jornada 5
2,Betis,Temporada 2012-13,10,9,9,3,0,5,6,Jornada 5
2,R. Madrid,Temporada 2012-13,7,7,4,2,1,5,7,Jornada 5
2,Rayo,Temporada 2012-13,6,7,7,2,1,5,8,Jornada 5
2,Levante,Temporada 2012-13,7,7,9,2,1,5,9,Jornada 5
1,Deportivo,Temporada 2012-13,7,6,7,1,3,5,10,Jornada 5
3,Celta,Temporada 2012-13,6,6,6,2,0,5,11,Jornada 5
3,Zaragoza,Temporada 2012-13,5,6,6,2,0,5,12,Jornada 5
3,Valladolid,Temporada 2012-13,4,6,5,2,0,5,13,Jornada 5
3,R. Sociedad,Temporada 2012-13,6,6,9,2,0,5,14,Jornada 5
2,Valencia,Temporada 2012-13,6,5,8,1,2,5,15,Jornada 5
0,Barcelona,Temporada 2012-13,7,6,2,2,0,2,1,Jornada 2
0,Valladolid,Temporada 2012-13,3,6,0,2,0,2,2,Jornada 2
0,Rayo,Temporada 2012-13,3,6,1,2,0,2,3,Jornada 2
0,Atlético,Temporada 2012-13,5,4,1,1,1,2,4,Jornada 2
0,Deportivo,Temporada 2012-13,5,4,3,1,1,2,5,Jornada 2
0,Mallorca,Temporada 2012-13,3,4,2,1,1,2,6,Jornada 2
0,Sevilla,Temporada 2012-13,3,4,2,1,1,2,7,Jornada 2
0,Málaga,Temporada 2012-13,2,4,1,1,1,2,8,Jornada 2
1,Betis,Temporada 2012-13,6,3,5,1,0,2,9,Jornada 2
1,Getafe,Temporada 2012-13,3,3,3,1,0,2,10,Jornada 2
1,Zaragoza,Temporada 2012-13,2,3,2,1,0,2,11,Jornada 2
1,R. Sociedad,Temporada 2012-13,3,3,6,1,0,2,12,Jornada 2
0,Valencia,Temporada 2012-13,4,2,4,0,2,2,13,Jornada 2
1,R. Madrid,Temporada 2012-13,2,1,3,0,1,2,14,Jornada 2
1,Granada,Temporada 2012-13,1,1,2,0,1,2,15,Jornada 2
4,Granada,Temporada 2012-13,7,8,12,2,2,8,16,Jornada 8
4,Athletic,Temporada 2012-13,11,8,17,2,2,8,17,Jornada 8
4,Deportivo,Temporada 2012-13,13,6,19,1,3,8,18,Jornada 8
5,Espanyol,Temporada 2012-13,11,5,15,1,2,8,19,Jornada 8
5,Osasuna,Temporada 2012-13,7,5,11,1,2,8,20,Jornada 8
3,Athletic,Temporada 2012-13,9,8,14,2,2,7,16,Jornada 7
5,Zaragoza,Temporada 2012-13,5,6,9,2,0,7,17,Jornada 7
3,Deportivo,Temporada 2012-13,9,6,14,1,3,7,18,Jornada 7
5,Osasuna,Temporada 2012-13,7,4,11,1,1,7,19,Jornada 7
5,Espanyol,Temporada 2012-13,8,2,13,0,2,7,20,Jornada 7
4,Zaragoza,Temporada 2012-13,5,6,8,2,0,6,15,Jornada 6
2,Deportivo,Temporada 2012-13,8,6,12,1,3,6,16,Jornada 6
3,Granada,Temporada 2012-13,4,5,9,1,2,6,17,Jornada 6
3,Athletic,Temporada 2012-13,8,5,14,1,2,6,18,Jornada 6
4,Osasuna,Temporada 2012-13,7,4,10,1,1,6,19,Jornada 6
5,Espanyol,Temporada 2012-13,7,1,12,0,1,6,20,Jornada 6
1,Granada,Temporada 2012-13,0,0,1,0,0,1,16,Jornada 1
1,Zaragoza,Temporada 2012-13,0,0,1,0,0,1,17,Jornada 1
1,Athletic,Temporada 2012-13,3,0,5,0,0,1,18,Jornada 1
1,Osasuna,Temporada 2012-13,0,0,2,0,0,1,19,Jornada 1
1,R. Sociedad,Temporada 2012-13,1,0,5,0,0,1,20,Jornada 1
2,Athletic,Temporada 2012-13,8,5,12,1,2,5,16,Jornada 5
3,Getafe,Temporada 2012-13,6,4,10,1,1,5,17,Jornada 5
