corners1,fuerasDeJuego2,fuerasDeJuego1,faltasCometidas1,balonesRecuperados2,balonesPerdidos2,result2,faltasSancionadas2,faltasSancionadas1,result1,targetasRojas2,targetasRojas1,intervencionesPortero2,posesion1,rematesPuerta1,rematesPuerta2,season,faltasCometidas2,intervencionesPortero1,team1,team2,balonesRecuperados1,rematesEntreTresPalos2,penalties2,penalties1,rematesEntreTresPalos1,targetasAmarilas2,balonesPerdidos1,targetasAmarilas1,day,corners2
3,0,1,11,59,66,4,11,17,2,0,1,4,"48,34%",7,21,Temporada 2012-13,17,10,Betis,Atlético,36,10,0,0,4,3,75,4,Jornada 3,11
6,2,1,,21,73,2,30,21,3,0,0,98,"44,42%",12,9,Temporada 2012-13,,101,Levante,Espanyol,30,2,0,0,5,6,64,5,Jornada 3,2
5,1,1,21,78,91,0,21,11,0,0,1,7,"51,72%",11,19,Temporada 2012-13,11,6,Rayo,Sevilla,61,5,0,0,3,1,107,4,Jornada 3,6
6,7,1,12,56,97,0,12,11,3,0,0,7,"67,91%",22,7,Temporada 2012-13,11,1,R. Madrid,Granada,77,0,0,0,8,2,82,2,Jornada 3,3
5,3,3,11,57,82,0,11,12,1,0,0,6,"66,51%",13,7,Temporada 2012-13,12,1,Barcelona,Valencia,61,1,0,0,6,3,77,1,Jornada 3,5
9,2,0,6,75,87,0,6,7,2,0,0,6,"53,3%",17,8,Temporada 2012-13,7,1,Athletic,Valladolid,69,1,0,0,5,1,95,0,Jornada 3,4
4,4,2,5,74,92,0,5,15,2,0,0,6,"50,51%",11,7,Temporada 2012-13,15,4,Celta,Osasuna,66,3,0,0,4,4,98,1,Jornada 3,6
15,3,2,,11,51,2,6,11,3,0,0,98,"68,53%",22,3,Temporada 2012-13,,76,Sevilla,Mallorca,6,2,0,0,9,2,75,0,Jornada 8,1
8,3,3,18,70,100,2,18,15,1,0,0,10,"60,7%",21,15,Temporada 2012-13,15,7,Athletic,Getafe,78,8,0,0,11,2,94,5,Jornada 9,3
5,1,2,18,81,116,2,18,14,2,0,0,8,"56,19%",12,14,Temporada 2012-13,14,5,Valladolid,R. Sociedad,89,4,0,0,6,1,102,3,Jornada 9,3
7,4,2,16,82,96,2,16,18,0,0,0,3,"60,08%",14,12,Temporada 2012-13,18,6,Rayo,Zaragoza,62,8,0,0,1,2,103,2,Jornada 15,1
3,5,3,9,57,102,0,9,13,1,0,0,2,"44,5%",12,8,Temporada 2012-13,13,3,Osasuna,Rayo,74,1,0,0,3,2,90,1,Jornada 14,8
6,5,2,,7,62,1,19,7,1,0,0,101,"72,66%",18,3,Temporada 2012-13,,90,Mallorca,Zaragoza,19,3,0,0,6,4,76,3,Jornada 14,8
9,1,3,20,62,86,2,20,16,1,0,0,10,"65,54%",21,16,Temporada 2012-13,16,6,Sevilla,Valladolid,65,6,0,0,6,5,86,4,Jornada 14,1
7,2,1,11,75,101,1,11,11,1,0,0,12,"60,86%",18,8,Temporada 2012-13,11,1,Celta,Levante,71,2,0,0,8,3,98,3,Jornada 14,1
4,1,1,8,87,108,1,8,7,0,0,0,12,"55,04%",12,11,Temporada 2012-13,7,8,Celta,Betis,79,5,0,0,3,2,107,2,Jornada 16,3
6,3,1,,6,80,0,9,6,0,0,0,105,"52,12%",19,8,Temporada 2012-13,,94,Deportivo,Valladolid,9,3,0,0,4,0,76,2,Jornada 16,7
