
corners1,fuerasDeJuego2,fuerasDeJuego1,faltasCometidas1,balonesRecuperados2,balonesPerdidos2,result2,faltasSancionadas2,faltasSancionadas1,result1,targetasRojas2,targetasRojas1,intervencionesPortero2,posesion1,rematesPuerta1,rematesPuerta2,season,faltasCometidas2,intervencionesPortero1,team1,team2,balonesRecuperados1,rematesEntreTresPalos2,penalties2,penalties1,rematesEntreTresPalos1,targetasAmarilas2,balonesPerdidos1,targetasAmarilas1,day,corners2
10,1,0,11,60,97,0,11,12,4,0,0,15,,23,7,Temporada 2012-13,12,2,Atlético,Athletic,67,0,0,0,14,3,80,3,Jornada 2,4
7,3,1,11,47,75,0,11,10,2,0,0,7,,15,8,Temporada 2012-13,10,2,Valladolid,Levante,56,2,0,0,7,7,70,1,Jornada 2,1
5,6,3,13,74,106,0,13,23,4,0,0,7,,16,7,Temporada 2012-13,23,6,Osasuna,Levante,74,1,0,0,8,3,104,2,Jornada 6,4
5,7,3,13,57,87,1,13,17,6,0,0,5,,13,14,Temporada 2012-13,17,5,Valladolid,Rayo,65,5,0,0,10,3,84,1,Jornada 6,9
12,5,3,15,65,99,1,15,9,5,0,0,12,,23,5,Temporada 2012-13,9,1,R. Madrid,Deportivo,75,2,0,0,13,3,88,2,Jornada 6,2
1,4,5,20,74,104,1,20,16,0,0,0,6,,10,14,Temporada 2012-13,16,7,Espanyol,Atlético,77,5,0,0,3,3,106,3,Jornada 6,3
5,1,7,14,67,95,0,14,12,2,0,0,3,,10,11,Temporada 2012-13,12,5,Deportivo,Osasuna,66,3,0,0,5,4,95,3,Jornada 1,7
5,1,2,18,81,116,2,18,14,2,0,0,8,,12,14,Temporada 2012-13,14,5,Valladolid,R. Sociedad,89,4,0,0,6,1,102,3,Jornada 9,3
11,6,4,9,60,88,4,9,9,2,0,0,3,,18,7,Temporada 2012-13,9,3,Getafe,Betis,70,5,0,0,3,4,80,2,Jornada 10,3
12,2,4,8,80,105,0,8,16,4,0,0,8,,26,7,Temporada 2012-13,16,2,R. Sociedad,Rayo,85,2,0,0,11,3,99,1,Jornada 12,5
2,1,0,11,81,96,1,11,20,2,0,0,1,,9,16,Temporada 2012-13,20,8,Athletic,Sevilla,74,6,0,0,2,5,106,7,Jornada 11,7
7,4,2,16,82,96,2,16,18,0,0,0,3,,14,12,Temporada 2012-13,18,6,Rayo,Zaragoza,62,8,0,0,1,2,103,2,Jornada 15,1
4,1,1,8,87,108,1,8,7,0,0,0,12,,12,11,Temporada 2012-13,7,8,Celta,Betis,79,5,0,0,3,2,107,2,Jornada 16,3
5,2,1,5,72,93,1,5,12,0,0,0,5,,10,8,Temporada 2012-13,12,2,Valladolid,Betis,62,2,0,0,3,2,87,1,Jornada 4,3
3,5,3,9,57,102,0,9,13,1,0,0,2,,12,8,Temporada 2012-13,13,3,Osasuna,Rayo,74,1,0,0,3,2,90,1,Jornada 14,8
9,1,3,20,62,86,2,20,16,1,0,0,10,,21,16,Temporada 2012-13,16,6,Sevilla,Valladolid,65,6,0,0,6,5,86,4,Jornada 14,1
7,2,1,11,75,101,1,11,11,1,0,0,12,,18,8,Temporada 2012-13,11,1,Celta,Levante,71,2,0,0,8,3,98,3,Jornada 14,1
,5,2,19,62,101,1,19,7,1,0,0,8,,18,3,Temporada 2012-13,7,6,Mallorca,Zaragoza,76,3,0,0,6,4,90,3,Jornada 14,
11,2,4,14,72,110,0,14,22,0,0,0,10,,23,13,Temporada 2012-13,22,2,Granada,Espanyol,80,2,0,0,8,4,103,0,Jornada 14,2
8,3,3,13,71,93,1,13,17,0,0,0,5,,15,7,Temporada 2012-13,17,4,Zaragoza,Celta,68,3,0,0,3,1,90,3,Jornada 13,3
5,4,4,15,69,102,0,15,11,1,0,0,6,,14,7,Temporada 2012-13,11,5,Getafe,Málaga,78,5,0,0,5,4,102,3,Jornada 14,5
3,1,4,19,63,92,0,19,23,2,0,0,5,,13,4,Temporada 2012-13,23,5,R. Madrid,Atlético,63,3,0,0,8,5,91,1,Jornada 14,4
5,3,2,16,62,91,5,16,11,2,0,1,4,,8,17,Temporada 2012-13,11,10,Valencia,R. Sociedad,65,12,0,0,4,2,82,2,Jornada 14,8
,6,0,13,66,105,0,13,11,4,2,0,6,,19,2,Temporada 2012-13,11,4,Atlético,Sevilla,73,2,0,0,9,4,90,2,Jornada 13,
3,2,2,7,80,109,1,7,10,5,0,0,5,,19,6,Temporada 2012-13,10,2,Barcelona,Athletic,76,2,0,0,11,3,95,1,Jornada 14,1
4,2,2,7,60,78,4,7,5,0,0,0,3,,11,13,Temporada 2012-13,5,3,Levante,Barcelona,67,7,0,0,3,1,83,0,Jornada 13,8
12,3,3,9,73,98,3,9,16,2,0,0,9,,17,12,Temporada 2012-13,16,8,Deportivo,Betis,78,7,0,0,7,5,98,2,Jornada 14,5
13,4,1,16,62,94,1,16,8,1,0,0,12,,26,9,Temporada 2012-13,8,9,Athletic,Deportivo,71,5,0,0,7,3,88,4,Jornada 13,4
6,4,3,13,82,111,2,13,17,0,0,0,10,,11,10,Temporada 2012-13,17,8,Espanyol,Getafe,88,7,0,0,4,2,106,2,Jornada 13,4
1,3,9,22,78,100,0,22,7,1,0,0,5,,9,18,Temporada 2012-13,7,15,Betis,R. Madrid,75,9,0,0,4,0,113,3,Jornada 13,10
9,2,4,11,86,114,2,11,7,1,0,0,9,,11,12,Temporada 2012-13,7,3,Osasuna,Granada,82,5,0,0,5,3,117,2,Jornada 17,7
7,2,1,7,75,82,2,7,18,0,0,0,11,,12,13,Temporada 2012-13,18,2,Athletic,Zaragoza,52,4,0,0,4,3,97,1,Jornada 17,3
6,5,0,13,65,105,0,13,12,1,0,0,5,,12,4,Temporada 2012-13,12,2,Atlético,Celta,77,0,0,0,4,3,102,4,Jornada 17,4
6,5,2,9,82,102,2,9,12,3,0,0,5,,11,19,Temporada 2012-13,12,5,Málaga,R. Madrid,85,6,0,0,6,4,107,1,Jornada 17,7
8,3,1,11,64,93,2,11,17,4,0,0,8,,20,17,Temporada 2012-13,17,8,Valencia,Getafe,72,8,0,0,10,3,88,2,Jornada 17,7
3,0,2,18,72,96,0,18,12,3,0,0,6,,16,9,Temporada 2012-13,12,5,Rayo,Levante,66,3,0,0,7,3,98,3,Jornada 17,5
