fuerasDeJuego2,fuerasDeJuego1,corners1,balonesRecuperados2,balonesPerdidos2,result2,faltasSancionadas2,faltasSancionadas1,result1,targetasRojas2,targetasRojas1,intervencionesPortero2,posesion1,day,rematesPuerta2,rematesPuerta1,balonesPerdidos1,intervencionesPortero1,team1,team2,balonesRecuperados1,faltasCometidas2,penalties2,penalties1,faltasCometidas1,season,targetasAmarilas1,targetasAmarilas2,corners2
1,2,7,96,8,1,14,12,3,0,0,3,"61,89%",Jornada 8,11,13,8,11,Athletic,Osasuna,98,72,0,0,76,Temporada 2011-12,2,3,6
2,6,3,92,7,0,18,14,0,0,0,2,"50,55%",Jornada 8,14,8,5,6,Getafe,Villarreal,95,78,0,0,58,Temporada 2011-12,4,5,4
5,2,5,105,2,0,13,9,2,0,0,6,"48,29%",Jornada 8,13,8,8,2,Zaragoza,R. Sociedad,106,82,0,0,78,Temporada 2011-12,3,3,3
3,2,5,89,4,1,14,20,2,0,0,8,"54,33%",Jornada 8,15,19,7,4,Sevilla,Sporting,90,65,0,0,68,Temporada 2011-12,4,2,6
3,0,1,88,3,1,13,18,1,0,0,6,"41,67%",Jornada 8,10,11,1,10,Mallorca,Valencia,87,68,0,0,64,Temporada 2011-12,2,4,1
6,2,1,109,3,1,12,14,0,0,0,9,"48,9%",Jornada 8,10,6,6,5,Rayo,Espanyol,116,78,0,0,77,Temporada 2011-12,3,3,4
0,2,3,89,1,0,19,12,3,1,0,4,"39,94%",Jornada 8,7,14,7,4,Levante,Málaga,85,71,0,0,78,Temporada 2011-12,3,0,3
3,2,7,45,77,0,3,17,3,0,0,4,"80,04%",Jornada 8,2,19,62,6,Barcelona,Racing,65,17,0,0,3,Temporada 2011-12,0,2,2
1,1,5,69,8,0,15,17,0,0,0,8,"56,55%",Jornada 8,17,16,14,9,Granada,Atlético,70,51,0,0,60,Temporada 2011-12,4,5,8
9,0,10,53,89,1,14,15,4,0,0,9,"63,39%",Jornada 8,10,21,75,5,R. Madrid,Betis,67,15,0,0,14,Temporada 2011-12,1,3,3
