temporada;jornada;equip1;equip2;codi1;codi2;punts1;posicio1;pg1;pe1;pp1;avgf1;avgc1;punts2;posicio2;pg2;pe2;pp2;avgf2;avgc2;difposition;resultat
Temporada 2000-01;3;Las Palmas;Valladolid;Temporada 2000-013Las Palmas;Temporada 2000-013Valladolid;2;17;0;0,666666667;0,333333333;1;2;5;8;0,333333333;0,666666667;0;1,333333333;0,666666667;9;0
Temporada 2000-01;3;Barcelona;Racing;Temporada 2000-013Barcelona;Temporada 2000-013Racing;6;5;0,666666667;0;0,333333333;2;1,666666667;1;19;0;0,333333333;0,666666667;1;2,666666667;-14;1
Temporada 2000-01;3;Mallorca;Malaga;Temporada 2000-013Mallorca;Temporada 2000-013Malaga;1;20;0;0,333333333;0,666666667;0,333333333;2;4;10;0,333333333;0,333333333;0,333333333;1,666666667;1,666666667;10;2
Temporada 2000-01;3;Numancia;Valencia;Temporada 2000-013Numancia;Temporada 2000-013Valencia;3;14;0,333333333;0;0,666666667;0,333333333;1,666666667;6;4;0,666666667;0;0,333333333;2,666666667;0,666666667;10;2
Temporada 2000-01;3;R. Sociedad;Deportivo;Temporada 2000-013R. Sociedad;Temporada 2000-013Deportivo;2;16;0;0,666666667;0,333333333;1,333333333;2,333333333;7;2;0,666666667;0,333333333;0;2;0,333333333;14;0
Temporada 2000-01;3;Villarreal;Oviedo;Temporada 2000-013Villarreal;Temporada 2000-013Oviedo;6;6;0,666666667;0;0,333333333;1;1,666666667;1;18;0;0,333333333;0,666666667;0,666666667;1,333333333;-12;1
Temporada 2000-01;3;Zaragoza;Alaves;Temporada 2000-013Zaragoza;Temporada 2000-013Alaves;2;15;0;0,666666667;0,333333333;1;1,333333333;4;9;0,333333333;0,333333333;0,333333333;1,666666667;1;6;0
Temporada 2000-01;3;Osasuna;Rayo;Temporada 2000-013Osasuna;Temporada 2000-013Rayo;4;11;0,333333333;0,333333333;0,333333333;1,333333333;1,666666667;5;7;0,333333333;0,666666667;0;2,333333333;1;4;0
Temporada 2000-01;3;Celta;Espanyol;Temporada 2000-013Celta;Temporada 2000-013Espanyol;9;1;1;0;0;2,333333333;0,333333333;3;12;0,333333333;0;0,666666667;1;1,333333333;-11;1
Temporada 2000-01;4;Valladolid;Villarreal;Temporada 2000-014Valladolid;Temporada 2000-014Villarreal;6;8;0,25;0,75;0;1;0,5;7;7;0,5;0,25;0,25;0,75;1,25;1;0
Temporada 2000-01;4;Racing;R. Madrid;Temporada 2000-014Racing;Temporada 2000-014R. Madrid;2;18;0;0,5;0,5;0,75;2;8;5;0,5;0,5;0;2,25;1,25;13;0
Temporada 2000-01;4;Athletic;Mallorca;Temporada 2000-014Athletic;Temporada 2000-014Mallorca;6;10;0,5;0;0,5;1,5;2;1;20;0;0,25;0,75;0,5;2;-10;1
Temporada 2000-01;4;Malaga;Numancia;Temporada 2000-014Malaga;Temporada 2000-014Numancia;4;13;0,25;0,25;0,5;1,5;2;6;11;0,5;0;0,5;1;1,5;2;2
Temporada 2000-01;4;Deportivo;Barcelona;Temporada 2000-014Deportivo;Temporada 2000-014Barcelona;10;1;0,75;0,25;0;2;0,25;6;9;0,5;0;0,5;1,5;1,75;-8;1
Temporada 2000-01;4;Valencia;Las Palmas;Temporada 2000-014Valencia;Temporada 2000-014Las Palmas;9;2;0,75;0;0,25;3,25;0,75;2;19;0;0,5;0,5;1;2,75;-17;1
Temporada 2000-01;4;Oviedo;Zaragoza;Temporada 2000-014Oviedo;Temporada 2000-014Zaragoza;4;12;0,25;0,25;0,5;1;1,25;2;16;0;0,5;0,5;1;1,5;-4;1
