fuerasDeJuego2,fuerasDeJuego1,corners1,balonesRecuperados2,balonesPerdidos2,result2,faltasSancionadas2,faltasSancionadas1,result1,targetasRojas2,targetasRojas1,intervencionesPortero2,posesion1,day,rematesPuerta2,rematesPuerta1,balonesPerdidos1,intervencionesPortero1,team1,team2,balonesRecuperados1,faltasCometidas2,penalties2,penalties1,faltasCometidas1,season,targetasAmarilas1,targetasAmarilas2,corners2
4,4,10,70,72,0,17,20,1,0,0,15,"45,74%",Jornada 1,13,18,70,7,Numancia,Oviedo,72,20,0,0,17,Temporada 2000-01,1,4,7
2,0,4,65,67,2,24,25,1,0,1,6,"53,69%",Jornada 1,14,17,65,9,Zaragoza,Espanyol,67,25,1,0,24,Temporada 2000-01,2,3,7
2,7,6,71,70,3,13,18,0,0,0,2,"49,83%",Jornada 1,12,14,71,6,Las Palmas,Alavés,70,18,0,0,13,Temporada 2000-01,1,1,4
1,6,6,65,76,0,20,21,2,0,0,6,"51,79%",Jornada 1,12,19,65,6,Deportivo,Athletic,76,21,0,1,20,Temporada 2000-01,1,1,1
0,2,5,95,97,5,14,17,1,0,0,14,"60,49%",Jornada 1,14,19,95,4,Villarreal,Rayo,97,17,1,0,14,Temporada 2000-01,2,4,8
2,3,8,76,74,2,14,12,2,0,0,8,"50,76%",Jornada 1,15,14,76,3,R. Sociedad,Racing,74,12,1,1,14,Temporada 2000-01,3,1,5
2,4,7,74,80,1,17,19,2,0,0,14,"57,45%",Jornada 1,8,18,74,11,Barcelona,Málaga,80,19,0,0,17,Temporada 2000-01,1,2,2
1,1,7,76,75,1,22,22,2,0,0,8,"52,71%",Jornada 1,20,16,76,6,R. Madrid,Valencia,75,22,1,0,22,Temporada 2000-01,4,6,3
1,2,3,74,65,1,28,27,1,0,0,4,"44,6%",Jornada 1,14,5,74,5,Mallorca,Valladolid,65,27,0,1,28,Temporada 2000-01,2,6,3
1,6,8,73,71,2,18,20,0,0,0,5,"48,65%",Jornada 1,13,10,73,6,Osasuna,Celta,71,20,0,0,18,Temporada 2000-01,1,1,8
