corners1,fuerasDeJuego2,fuerasDeJuego1,faltasCometidas1,balonesRecuperados2,balonesPerdidos2,result2,faltasSancionadas2,faltasSancionadas1,result1,targetasRojas2,targetasRojas1,intervencionesPortero2,posesion1,rematesPuerta1,rematesPuerta2,season,faltasCometidas2,intervencionesPortero1,team1,team2,balonesRecuperados1,rematesEntreTresPalos2,penalties2,penalties1,rematesEntreTresPalos1,targetasAmarilas2,balonesPerdidos1,targetasAmarilas1,day,corners2
11,1,2,14,72,96,1,14,12,3,0,0,8,"61,89%",13,11,Temporada 2011-12,12,8,Athletic,Osasuna,76,6,0,0,7,3,98,2,Jornada 8,3
6,2,6,18,78,92,0,18,14,0,0,0,7,"50,55%",8,14,Temporada 2011-12,14,5,Getafe,Villarreal,58,4,0,0,3,5,95,4,Jornada 8,2
4,3,2,14,65,89,1,14,20,2,0,0,4,"54,33%",19,15,Temporada 2011-12,20,7,Sevilla,Sporting,68,6,0,0,5,2,90,4,Jornada 8,8
6,3,2,,17,45,0,3,17,3,0,0,77,"80,04%",19,2,Temporada 2011-12,,62,Barcelona,Racing,3,2,0,0,7,2,65,0,Jornada 8,4
2,5,2,13,82,105,0,13,9,2,0,0,2,"48,29%",8,13,Temporada 2011-12,9,8,Zaragoza,R. Sociedad,78,3,0,0,5,3,106,3,Jornada 8,6
9,1,1,15,51,69,0,15,17,0,0,0,8,"56,55%",16,17,Temporada 2011-12,17,14,Granada,Atlético,60,8,0,0,5,5,70,4,Jornada 8,8
4,0,2,19,71,89,0,19,12,3,1,0,1,"39,94%",14,7,Temporada 2011-12,12,7,Levante,Málaga,78,3,0,0,3,0,85,3,Jornada 8,4
5,6,2,12,78,109,1,12,14,0,0,0,3,"48,9%",6,10,Temporada 2011-12,14,6,Rayo,Espanyol,77,4,0,0,1,3,116,3,Jornada 8,9
10,3,0,13,68,88,1,13,18,1,0,0,3,"41,67%",11,10,Temporada 2011-12,18,1,Mallorca,Valencia,64,1,0,0,1,4,87,2,Jornada 8,6
5,9,0,,15,53,1,14,15,4,0,0,89,"63,39%",21,10,Temporada 2011-12,,75,R. Madrid,Betis,14,3,0,0,10,3,67,1,Jornada 8,9
